,property_config,city,bin,bedroom_1,bedroom_2,bedroom_3,wall_a,wall_b,wall_c
0,1 BHK,Bengaluru,1,8.511111111111111,0.0,0.0,10.356666666666666,9.533333333333335,18.0
1,1 BHK,Bengaluru,2,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
2,1 BHK,Bengaluru,3,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
3,1 BHK,Bengaluru,4,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
4,1 BHK,Bengaluru,1,8.511111111111111,0.0,0.0,10.356666666666666,9.533333333333335,18.0
5,1 BHK,Bengaluru,2,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
6,1 BHK,Bengaluru,3,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
7,1 BHK,Bengaluru,4,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
8,1 BHK,Bengaluru,1,8.511111111111111,0.0,0.0,10.356666666666666,9.533333333333335,18.0
9,1 BHK,Bengaluru,2,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
10,1 BHK,Bengaluru,3,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
11,1 BHK,Bengaluru,4,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
12,1 BHK,Bengaluru,1,8.511111111111111,0.0,0.0,10.356666666666666,9.533333333333335,18.0
13,1 BHK,Bengaluru,2,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
14,1 BHK,Bengaluru,3,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
15,1 BHK,Bengaluru,4,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
16,1 BHK,Chennai,1,6.6,0.0,0.0,7.049999999999999,6.324999999999999,9.170891089108911
17,1 BHK,Chennai,2,6.683193069306931,0.0,0.0,9.445239852398524,8.862295514511873,9.170891089108911
